Time_Years,Total_Cost_TrillionUSD
107.51225411193505,359.1259299006458
112.42966368121617,358.15416763792837
117.3470732504973,357.1923791952079
122.26448281977844,356.2423767635104
127.18189238905956,355.302073581358
132.09930195834067,354.3723342598797
137.0167115276218,353.45247258084754
141.93412109690294,352.54229929772515
146.85153066618406,351.64186390303513
151.76894023546518,350.75111126468977
156.68634980474633,349.87003923988857
161.60375937402745,348.9987076016944
166.52116894330857,348.1371044967398
171.4385785125897,347.2851750363404
176.3559880818708,346.4429170870995
181.27339765115195,345.6103578891596
186.19080722043307,344.7877277667578
191.1082167897142,343.9747614253694
196.02562635899534,343.17145675579343
200.94303592827646,342.3778116488287
205.86044549755758,341.59382399527425
210.7778550668387,340.8195908779689
215.69526463611982,340.05535381707836
220.61267420540096,339.3007659860231
225.53008377468208,338.5558253128324
230.4474933439632,337.82052972553555
235.36490291324435,337.09487715216204
240.28231248252547,336.37886552074104
245.1997220518066,335.672492759302
250.1171316210877,334.975763390443
255.03454119036886,334.28878849674646
259.95195075965,333.61144576342394
264.86936032893107,332.94373312931987
269.78676989821224,332.2856485332784
274.7041794674933,331.63718991414396
279.6215890367745,330.998355210761
284.5389986060556,330.3691423619736
289.4564081753367,329.74954930662625
294.3738177446179,329.1395739835633
299.29122731389896,328.53921433162907
304.20863688318013,327.9484682896677
309.1260464524612,327.36733379652367
314.0434560217424,326.79616223154306
318.9608655910235,326.2346062288173
323.8782751603046,325.6826544276256
328.79568472958573,325.14030479854546
333.71309429886685,324.6075553121542
338.630503868148,324.084403939029
343.5479134374291,323.5708486497473
348.46532300671026,323.06688741488676
353.3827325759913,322.5725182050244
358.3001421452725,322.08773899073765
363.2175517145536,321.61254774260385
368.13496128383474,321.14694243120056
373.0523708531159,320.690921027105
377.969780422397,320.24448150089455
382.88718999167816,319.8076218231465
387.8045995609592,319.3803399644383
392.7220091302404,318.9626338953473
397.63941869952146,318.5545015864509
402.55682826880263,318.15594100832635
407.4742378380838,317.7669650979994
412.39164740736487,317.38763177506064
417.30905697664605,317.01786389832085
422.2264665459271,316.6576594464432
427.1438761152083,316.30701639809064
432.06128568448935,315.9659327319265
436.9786952537705,315.6344064266138
441.8961048230516,315.31243546081555
446.81351439233276,315.0000178131951
451.73092396161394,314.69715146241526
456.648333530895,314.4038343871394
461.5657431001762,314.12006456603046
466.48315266945724,313.84583997775167
471.4005622387384,313.58115860096615
476.3179718080195,313.32601841433694
481.23538137730066,313.0804173965272
486.15279094658183,312.84435352619994
491.0702005158629,312.6178247820185
495.98761008514407,312.4008291426458
500.90501965442513,312.1933645867451
505.8224292237063,311.99542909297924
510.73983879298737,311.8070206400116
515.6572483622685,311.62813720650524
520.5746579315496,311.45877677112327
525.4920675008308,311.2989373125288
530.409477070112,311.14861680938486
535.326886639393,311.00781324035466
540.2442962086742,310.87652458410133
545.1617057779553,310.75474881928795
550.0791153472364,310.64248392457756
554.9965249165175,310.53972787863336
559.9139344857987,310.44647866011843
564.8313440550799,310.36273424769587
569.7487536243609,310.2884926200289
574.6661631936421,310.2237517557805
579.5835727629232,310.1685096336139
584.5009823322043,310.12276423219214
589.4183919014854,310.0865135301783
594.3358014707666,310.05975550623555
